en;current;new
equal;igual;igual
launch;o lançamento;o lançamento
military (person);o militar;o militar
policy;a política;a política
square;a praça;a praça
property;a propriedade;a propriedade
pre;pré;pré
rock (music);o rock;o rock
territory;o território;o território
to be enough;bastar;bastar
couple;o casal;o casal
congress;o congresso;o congresso
strange;estranho;estranho
impossible;impossível;impossível
unfortunately;infelizmente;infelizmente
whole;inteiro;inteiro
garbage;o lixo;o lixo
matter;a matéria;a matéria
rule;a regra;a regra
responsibility;a responsabilidade;a responsabilidade
telephone;o telefone;o telefone
tone;o tom;o tom
exchange;a troca;a troca
opening;a abertura;a abertura
analysis;a análise;a análise
brief;breve;breve
trash;o lixo;o lixo
science;a ciência;a ciência
comment;o comentário;o comentário
to consider;considerar;considerar
destination;o destino;o destino
available;disponível;disponível
effect;o efeito;o efeito
global;global;global
independent;independente;independente
investigation;a investigação;a investigação
planet;o planeta;o planeta
issue;a questão;a questão
treatment;o tratamento;o tratamento
accident;o acidente;o acidente
agency;a agência;a agência
to appear;aparecer;aparecer
candidate;o candidato;o candidato
to choose;escolher;escolher
French;francês;francês
to deal;lidar;lidar
congratulations;parabéns;parabéns
to allow;permitir;permitir
police (officer);policial;policial
quickly;rapidamente;rapidamente
kingdom;o reino;o reino
system;o sistema;o sistema
act;o ato;o ato
category;a categoria;a categoria
episode;o episódio;o episódio
species;a espécie;a espécie
siblings;os irmãos;os irmãos
partnership;a parceria;a parceria
mayor;o prefeito;o prefeito
post;pós;pós
realized;realizado;realizado
surroundings;o redor;o redor
workers;os trabalhadores;os trabalhadores
victim;a vítima;a vítima
carnival;o carnaval;o carnaval
commercial;comercial;comercial
constitution;a constituição;a constituição
contract;o contrato;o contrato
document;o documento;o documento
doubt;a dúvida;a dúvida
players;os jogadores;os jogadores
girls;as meninas;as meninas
in that;naquele;naquele
violence;a violência;a violência
great;ótimo;ótimo
to adore;adorar;adorar
classes;as aulas;as aulas
command;o comando;o comando
highlight;o destaque;o destaque
connection;a ligação;a ligação
to search;procurar;procurar
to protect;proteger;proteger
reference;a referência;a referência
ground;o solo;o solo
traditional;tradicional;tradicional
to watch;assistir;assistir
to discover;descobrir;descobrir
schedule;o horário;o horário
master;o mestre;o mestre
pattern;o padrão;o padrão
pleasure;o prazer;o prazer
city hall;a prefeitura;a prefeitura
reform;a reforma;a reforma
to represent;representar;representar
to solve;resolver;resolver
shot;o tiro;o tiro
speed;a velocidade;a velocidade
directly;diretamente;diretamente
diary;o diário;o diário
existence;a existência;a existência
focus;o foco;o foco
generally;geralmente;geralmente
link;a ligação;a ligação
to improve;melhorar;melhorar
to be born;nascer;nascer
option;a opção;a opção
passage;a passagem;a passagem
to perceive;perceber;perceber
character;a personagem;a personagem
prince;o príncipe;o príncipe
regime;o regime;o regime
regional;regional;regional
to answer;responder;responder
after all;afinal;afinal
cheerful;alegre;alegre
to fall;cair;cair
championship;o campeonato;o campeonato
climate;o clima;o clima
complete;completo;completo
concept;o conceito;o conceito
criticism;a crítica;a crítica
that (masculine singular);aquele;aquele
detail;o detalhe;o detalhe
Spanish;espanhol;espanhol
foundation;a fundação;a fundação
gay;gay;gay
journalist;o/a jornalista;o/a jornalista
to launch;lançar;lançar
media;a mídia;a mídia
loss;a perda;a perda
present;presente;presente
rose;a rosa;a rosa
second (time);o segundo;o segundo
to announce;anunciar;anunciar
to increase;aumentar;aumentar
purchase;a compra;a compra
according to;conforme;conforme
writer;o escritor;o escritor
border;a fronteira;a fronteira
employee;o funcionário;o funcionário
to guarantee;garantir;garantir
literature;a literatura;a literatura
maximum;máximo;máximo
in him;nele;nele
possibility;a possibilidade;a possibilidade
publication;a publicação;a publicação
recently;recentemente;recentemente
secretary;o secretário;o secretário
rate;a taxa;a taxa
theater;o teatro;o teatro
universe;o universo;o universo
album;o álbum;o álbum
calm;a calma;a calma
certainly;certamente;certamente
courage;a coragem;a coragem
cross;a cruz;a cruz
cancer;o cancro;o cancro
element;o elemento;o elemento
funny;engraçado;engraçado
expression;a expressão;a expressão
gender;o género;o género
moon;a lua;a lua
platform;a plataforma;a plataforma
fall;a queda;a queda
to realize;realizar;realizar
resistance;a resistência;a resistência
revolution;a revolução;a revolução
sector;o setor;o setor
sexual;sexual;sexual
agent;o agente;o agente
champion;o campeão;o campeão
context;o contexto;o contexto
among;dentre;dentre
challenge;o desafio;o desafio
electoral;eleitoral;eleitoral
identity;a identidade;a identidade
immediately;imediatamente;imediatamente
crazy;louco;louco
west;o oeste;o oeste
software;o software;o software
attempt;a tentativa;a tentativa
theory;a teoria;a teoria
technique;a técnica;a técnica
academy;a academia;a academia
characteristic;a característica;a característica
competition;a competição;a competição
consciousness;a consciência;a consciência
direct;direto;direto
to forget;esquecer;esquecer
exterior;o exterior;o exterior
fan;o fã;o fã
management;a gestão;a gestão
to include;incluir;incluir
influence;a influência;a influência
oh;oh;oh
pride;o orgulho;o orgulho
portal;o portal;o portal
promotion;a promoção;a promoção
shame;a vergonha;a vergonha
to visit;visitar;visitar
to accept;aceitar;aceitar
joy;a alegria;a alegria
presentation;a apresentação;a apresentação
authority;a autoridade;a autoridade
meat;a carne;a carne
click;o clique;o clique
trust;a confiança;a confiança
race;a corrida;a corrida
to care;cuidar;cuidar
distribution;a distribuição;a distribuição
said;dito;dito
to occur;ocorrer;ocorrer
vehicle;o veículo;o veículo
feat;o feito;o feito
goal;o golo;o golo
blow;o golpe;o golpe
gas;o gás;o gás
impact;o impacto;o impacto
judgment;o julgamento;o julgamento
to connect;ligar;ligar
to fight;lutar;lutar
milestone;o marco;o marco
morale;a moral;a moral
teacher (female);a professora;a professora
recognition;o reconhecimento;o reconhecimento
to serve;servir;servir
sale;a venda;a venda
volume;o volume;o volume
captain;o capitão;o capitão
cost;o custo;o custo
district;o distrito;o distrito
decade;a década;a década
economic;económico;económico
stadium;o estádio;o estádio
mathematics;a matemática;a matemática
means;o meio;o meio
stage;o palco;o palco
deadline;o prazo;o prazo
princess;a princesa;a princesa
sensation;a sensação;a sensação
excellent;ótimo;ótimo
murder;o assassinato;o assassinato
assembly;a assembleia;a assembleia
to hit;bater;bater
to depend;depender;depender
domain;o domínio;o domínio
star;a estrela;a estrela
humor;o humor;o humor
initiative;a iniciativa;a iniciativa
limit;o limite;o limite
wonderful;maravilhoso;maravilhoso
speech;o discurso;o discurso
tribute;a homenagem;a homenagem
to maintain;manter;manter
map;o mapa;o mapa
to deserve;merecer;merecer
bridge;a ponte;a ponte
to promote;promover;promover
reaction;a reação;a reação
to save;salvar;salvar
avenue;a avenida;a avenida
contest;o concurso;o concurso
to contain;conter;conter
drawing;o desenho;o desenho
disclosure;a divulgação;a divulgação
danger;o perigo;o perigo
track;a pista;a pista
potential;o potencial;o potencial
principle;o princípio;o princípio
anger;a raiva;a raiva
apartment;o apartamento;o apartamento
scenario;o cenário;o cenário
client;o cliente;o cliente
complex;complexo;complexo
conference;a conferência;a conferência
to check;conferir;conferir
to discuss;discutir;discutir
effort;o esforço;o esforço
European;europeu;europeu
figure;a figura;a figura
inhabitant;o habitante;o habitante
childhood;a infância;a infância
safe;seguro;seguro
to remove;tirar;tirar
anti;anti;anti
file;o arquivo;o arquivo
attitude;a atitude;a atitude
based;baseado;baseado
battery;a bateria;a bateria
to marry;casar;casar
coverage;a cobertura;a cobertura
to grow;crescer;crescer
declaration;a declaração;a declaração
of these;destas;destas
discussion;a discussão;a discussão
owner;o dono;o dono
emergency;a emergência;a emergência
extremely;extremamente;extremamente
