en;current;new
to start;começar;começar
to work;trabalhar;trabalhar
to play;jogar;jogar
to change;mudar;mudar
to keep;manter;manter
to hold;segurar;segurar
to pull;puxar;puxar
to push;empurrar;empurrar
to fly;voar;voar
to ride (bicycle/car);andar;andar
big;grande;grande
small;pequeno;pequeno
long;longo;longo
short;curto;curto
high;alto;alto
low;baixo;baixo
wide;largo;largo
narrow;estreito;estreito
thick;grosso;grosso
thin;fino;fino
heavy;pesado;pesado
good;bom;bom
bad;mau;mau
new;novo;novo
old;velho;velho
hot;quente;quente
cold;frio;frio
wet;molhado;molhado
dry;seco;seco
clean;limpo;limpo
dirty;sujo;sujo
hard;duro;duro
soft;macio;macio
open;aberto;aberto
full;cheio;cheio
fast;rápido;rápido
slow;lento;lento
easy;fácil;fácil
difficult;difícil;difícil
dead;morto;morto
alive;vivo;vivo
young;jovem;jovem
dark;escuro;escuro
bright;brilhante;brilhante
beautiful;bonito;bonito
ugly;feio;feio
strong;forte;forte
weak;fraco;fraco
hungry;faminto;faminto
thirsty;sedento;sedento
tired;cansado;cansado
sick;doente;doente
important;importante;importante
different;diferente;diferente
same;mesmo;mesmo
true;verdadeiro;verdadeiro
false;falso;falso
right (correct);correto;correto
possible;possível;possível
ready;pronto;pronto
sure;certo;certo
normal;normal;normal
real;real;real
main;principal;principal
nice;agradável;agradável
poor;pobre;pobre
rich;rico;rico
famous;famoso;famoso
free;livre;livre
dangerous;perigoso;perigoso
quiet;calmo;calmo
busy;ocupado;ocupado
empty;vazio;vazio
and;e;e
or;ou;ou
but;mas;mas
so;assim;assim
because;porque;porque
however;no entanto;no entanto
therefore;portanto;portanto
although;embora;embora
nothing;nada;nada
nobody;ninguém;ninguém
anybody;qualquer pessoa;qualquer pessoa
anything;qualquer coisa;qualquer coisa
everything;tudo;tudo
something;algo;algo
home;a casa;a casa
kitchen;a cozinha;a cozinha
bathroom;a casa de banho;a casa de banho
door;a porta;a porta
window;a janela;a janela
wall;a parede;a parede
ceiling;o teto;o teto
roof;o telhado;o telhado
bed;a cama;a cama
table;a mesa;a mesa
chair;a cadeira;a cadeira
desk;a secretária;a secretária
cup;a chávena;a chávena
plate;o prato;o prato
bowl;a tigela;a tigela
glass (cup);o copo;o copo
spoon;a colher;a colher
fork;o garfo;o garfo
knife;a faca;a faca
pot;a panela;a panela
pen;a caneta;a caneta
pencil;o lápis;o lápis
paper;o papel;o papel
box;a caixa;a caixa
bottle;a garrafa;a garrafa
key;a chave;a chave
soap;o sabão;o sabão
garden;o jardim;o jardim
yard;o quintal;o quintal
shoe;o sapato;o sapato
shirt;a camisa;a camisa
pants;as calças;as calças
coat;o casaco;o casaco
hat;o chapéu;o chapéu
dress;o vestido;o vestido
